INFO 2024-11-01 00:20:51,900 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-01 00:20:51,901 autoreload Waiting for apps ready_event.
DEBUG 2024-11-01 00:20:51,907 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-01 00:20:51,924 autoreload Watching dir C:\Users\ricar\mediatheque\bibliotheque\templates with glob **/*.
DEBUG 2024-11-01 00:20:51,925 autoreload Watching dir C:\Users\ricar\mediatheque\emprunteur\templates with glob **/*.
DEBUG 2024-11-01 00:20:51,925 autoreload Watching dir C:\Users\ricar\mediatheque\locale with glob **/*.mo.
DEBUG 2024-11-01 00:20:51,932 autoreload Watching dir C:\Users\ricar\mediatheque\bibliotheque\locale with glob **/*.mo.
DEBUG 2024-11-01 00:20:51,933 autoreload Watching dir C:\Users\ricar\mediatheque\emprunteur\locale with glob **/*.mo.
DEBUG 2024-11-01 00:20:51,962 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-01 00:20:51,965 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-01 00:20:52,180 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\nturl2path.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,181 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1730319203.288077
DEBUG 2024-11-01 00:20:52,181 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1730319205.6788335
DEBUG 2024-11-01 00:20:52,182 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1730319205.6957393
DEBUG 2024-11-01 00:20:52,182 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1730319205.6726313
DEBUG 2024-11-01 00:20:52,182 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\email\parser.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,183 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1730319205.6458964
DEBUG 2024-11-01 00:20:52,183 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1730319205.56628
DEBUG 2024-11-01 00:20:52,183 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\asyncio\selector_events.py first seen with mtime 1728289608.0
